"","diff.fit","low","high","study","treat","bilat_0","age","se"
"6112",-0.021439359881144,-0.134988259167534,0.122385645857243,"Appelman","Antibiotics","Unilateral",7.01,-0.134988259167534
"6114",-0.025773093089049,-0.163893531717399,0.16309903075736,"Appelman","Antibiotics","Bilateral",7.03,-0.163893531717399
"6116",-0.0212977143959503,-0.135182500949683,0.123266181859806,"Appelman","Antibiotics","Unilateral",7.05,-0.135182500949683
"6118",-0.0253523858743072,-0.163994771495519,0.164215708083251,"Appelman","Antibiotics","Bilateral",7.07,-0.163994771495519
"6120",-0.0211565774748256,-0.135375861597444,0.124145424391518,"Appelman","Antibiotics","Unilateral",7.09,-0.135375861597444
"6122",-0.0249372675881308,-0.164104854051033,0.165321997127259,"Appelman","Antibiotics","Bilateral",7.11,-0.164104854051033
"6124",-0.0210159548359181,-0.135568357380501,0.125023325297249,"Appelman","Antibiotics","Unilateral",7.13,-0.135568357380501
"6126",-0.0245276816046696,-0.164223698758304,0.166417944937007,"Appelman","Antibiotics","Bilateral",7.15,-0.164223698758304
"6128",-0.0208758520313454,-0.135760004912132,0.125899838568924,"Appelman","Antibiotics","Unilateral",7.17,-0.135760004912132
"6130",-0.0241235715043208,-0.164351223927611,0.167503600738776,"Appelman","Antibiotics","Bilateral",7.19,-0.164351223927611
"6132",-0.0207362744493551,-0.13595082107855,0.126774920258653,"Appelman","Antibiotics","Unilateral",7.21,-0.13595082107855
"6134",-0.0237248810831263,-0.164487346865278,0.168579015813732,"Appelman","Antibiotics","Bilateral",7.23,-0.164487346865278
"6136",-0.02059722731648,-0.136140822974036,0.127648528396425,"Appelman","Antibiotics","Unilateral",7.25,-0.136140822974036
"6138",-0.0233315543618443,-0.164631983936377,0.169644243380162,"Appelman","Antibiotics","Bilateral",7.27,-0.164631983936377
"6140",-0.0204587156996857,-0.136330027841956,0.128520622912965,"Appelman","Antibiotics","Unilateral",7.29,-0.136330027841956
"6142",-0.0229435355946989,-0.164785050628575,0.170699338481191,"Appelman","Antibiotics","Bilateral",7.31,-0.164785050628575
"6144",-0.0203207445085133,-0.136518453019261,0.129391165565077,"Appelman","Antibiotics","Unilateral",7.33,-0.136518453019261
"6146",-0.0225607692778183,-0.164946461616254,0.171744357875559,"Appelman","Antibiotics","Bilateral",7.35,-0.164946461616254
"6148",-0.0201833184972156,-0.136706115885942,0.130260119864355,"Appelman","Antibiotics","Unilateral",7.37,-0.136706115885942
"6150",-0.0221832001573626,-0.165116130826178,0.17277935993408,"Appelman","Antibiotics","Bilateral",7.39,-0.165116130826178
"6152",-0.0200464422668853,-0.136893033819206,0.131127451010162,"Appelman","Antibiotics","Unilateral",7.41,-0.136893033819206
"6154",-0.0218107732373488,-0.165293971503783,0.173804404540845,"Appelman","Antibiotics","Bilateral",7.43,-0.165293971503783
"6156",-0.0199101202675748,-0.137079224151754,0.131993125825936,"Appelman","Antibiotics","Unilateral",7.45,-0.137079224151754
"6158",-0.0214434337871785,-0.165479896279926,0.174819552998891,"Appelman","Antibiotics","Bilateral",7.47,-0.165479896279926
"6160",-0.0197743568004081,-0.137264704134595,0.132857112699208,"Appelman","Antibiotics","Unilateral",7.49,-0.137264704134595
"6162",-0.02108112734887,-0.165673817238631,0.175824867941255,"Appelman","Antibiotics","Bilateral",7.51,-0.165673817238631
"6164",-0.0196391560196745,-0.137449490903701,0.133719381525636,"Appelman","Antibiotics","Unilateral",7.53,-0.137449490903701
"6166",-0.0207237997439986,-0.165875645983302,0.176820413245313,"Appelman","Antibiotics","Bilateral",7.55,-0.165875645983302
"6168",-0.0195045219349201,-0.137633601447976,0.134579903653226,"Appelman","Antibiotics","Unilateral",7.57,-0.137633601447976
"6170",-0.0203713970803713,-0.166085293701347,0.177806253948469,"Appelman","Antibiotics","Bilateral",7.59,-0.166085293701347
"6172",-0.0193704584130374,-0.137817052580775,0.135438651828784,"Appelman","Antibiotics","Unilateral",7.61,-0.137817052580775
"6174",-0.0200238657584235,-0.166302671229139,0.178782456168666,"Appelman","Antibiotics","Bilateral",7.63,-0.166302671229139
"6176",-0.0192369691803376,-0.137999860914984,0.136295600148022,"Appelman","Antibiotics","Unilateral",7.65,-0.137999860914984
"6178",-0.0196811524773414,-0.166527689116308,0.179749087028847,"Appelman","Antibiotics","Bilateral",7.67,-0.166527689116308
"6180",-0.0191040578246126,-0.138182042841116,0.137150724008225,"Appelman","Antibiotics","Unilateral",7.69,-0.138182042841116
"6182",-0.0193432042409204,-0.166760257689751,0.180706214585392,"Appelman","Antibiotics","Bilateral",7.71,-0.166760257689751
"6184",-0.0189717277971756,-0.13836361450851,0.138004000064164,"Appelman","Antibiotics","Unilateral",7.73,-0.13836361450851
"6186",-0.0190099683631516,-0.167000287115713,0.181653907759685,"Appelman","Antibiotics","Bilateral",7.75,-0.167000287115713
"6188",-0.0188399824148979,-0.138544591807267,0.138855406184194,"Appelman","Antibiotics","Unilateral",7.77,-0.138544591807267
"6190",-0.0186813924735787,-0.167247687459872,0.182592236270809,"Appelman","Antibiotics","Bilateral",7.79,-0.167247687459872
"6192",-0.018708824862243,-0.138724990353205,0.139704921408395,"Appelman","Antibiotics","Unilateral",7.81,-0.138724990353205
"6194",-0.0183574245223968,-0.167502368747454,0.183521270572879,"Appelman","Antibiotics","Bilateral",7.83,-0.167502368747454
"6196",-0.0185782581932696,-0.138904825475706,0.14055252591036,"Appelman","Antibiotics","Unilateral",7.85,-0.138904825475706
"6198",-0.0180380127852928,-0.167764241021103,0.184441081795257,"Appelman","Antibiotics","Bilateral",7.87,-0.167764241021103
"6200",-0.0184482853336291,-0.139084112205769,0.141398200958747,"Appelman","Antibiotics","Unilateral",7.89,-0.139084112205769
"6202",-0.0177231058680741,-0.168033214396369,0.185351741683443,"Appelman","Antibiotics","Bilateral",7.91,-0.168033214396369
"6204",-0.0183189090825624,-0.139262865266383,0.142241928880406,"Appelman","Antibiotics","Unilateral",7.93,-0.139262865266383
"6206",-0.0174126527110562,-0.16830919911626,0.186253322543573,"Appelman","Antibiotics","Bilateral",7.95,-0.16830919911626
"6208",-0.0181901321148729,-0.139441099064816,0.143083693025776,"Appelman","Antibiotics","Unilateral",7.97,-0.139441099064816
"6210",-0.0171066025932197,-0.16859210560413,0.187145897189486,"Appelman","Antibiotics","Bilateral",7.99,-0.16859210560413
"6212",-0.0180619569828873,-0.139618827686617,0.143923477735839,"Appelman","Antibiotics","Unilateral",8.01,-0.139618827686617
"6214",-0.0168049051361495,-0.168881844515603,0.188029538892729,"Appelman","Antibiotics","Bilateral",8.03,-0.168881844515603
"6216",-0.0179343861183929,-0.139796064892337,0.14476126831204,"Appelman","Antibiotics","Unilateral",8.05,-0.139796064892337
"6218",-0.0165075103077264,-0.16917832678912,0.188904321336293,"Appelman","Antibiotics","Bilateral",8.07,-0.16917832678912
"6220",-0.0178074218345401,-0.139972824113759,0.145597050986693,"Appelman","Antibiotics","Unilateral",8.09,-0.139972824113759
"6222",-0.0162143684256347,-0.169481463691845,0.189770318566971,"Appelman","Antibiotics","Bilateral",8.11,-0.169481463691845
"6224",-0.0176810663277841,-0.140149118450124,0.14643081289144,"Appelman","Antibiotics","Unilateral",8.13,-0.140149118450124
"6226",-0.0159254301606833,-0.16979116686453,0.190627604949602,"Appelman","Antibiotics","Bilateral",8.15,-0.16979116686453
"6228",-0.0175553216797939,-0.140324960666684,0.147262542028648,"Appelman","Antibiotics","Unilateral",8.17,-0.140324960666684
"6230",-0.0156406465399033,-0.170107348365107,0.191476255124621,"Appelman","Antibiotics","Bilateral",8.19,-0.170107348365107
"6232",-0.0174301898593382,-0.140500363194387,0.148092227244341,"Appelman","Antibiotics","Unilateral",8.21,-0.140500363194387
"6234",-0.0153599689494499,-0.170429920710542,0.192316343967573,"Appelman","Antibiotics","Bilateral",8.23,-0.170429920710542
"6236",-0.0173056727241585,-0.140675338131048,0.148919858202603,"Appelman","Antibiotics","Unilateral",8.25,-0.140675338131048
"6238",-0.0150833491373029,-0.170758796917694,0.193147946551517,"Appelman","Antibiotics","Bilateral",8.27,-0.170758796917694
"6240",-0.0171817720228002,-0.140849897243282,0.149745425361847,"Appelman","Antibiotics","Unilateral",8.29,-0.140849897243282
"6242",-0.0148107392157708,-0.171093890540637,0.193971138109967,"Appelman","Antibiotics","Bilateral",8.31,-0.171093890540637
"6244",-0.0170584893964633,-0.141024051967626,0.150568919949341,"Appelman","Antibiotics","Unilateral",8.33,-0.141024051967626
"6246",-0.0145420916638476,-0.171435115706126,0.19478599400025,"Appelman","Antibiotics","Bilateral",8.35,-0.171435115706126
